sale_id,date,customer_id,product_id,quantity,unit_price,revenue,cost,profit
1,2022-09-30,131,77,4,1233,4932,3314.2207011631212,1617.7792988368788
2,2022-08-19,67,51,5,1996,9980,7983.799769867374,1996.2002301326256
3,2022-03-27,455,1,3,4393,13179,8818.709189409472,4360.290810590528
4,2023-04-19,228,13,5,3454,17270,13172.588131836308,4097.411868163692
5,2022-05-06,163,43,3,1631,4893,3703.391674836092,1189.608325163908
6,2023-06-21,15,27,4,2232,8928,6647.657804942587,2280.342195057413
7,2022-05-25,232,71,4,3535,14140,10377.165836608363,3762.834163391637
8,2023-06-09,195,3,5,3213,16065,9988.141906355666,6076.858093644334
9,2022-07-31,349,58,3,2979,8937,7140.584253893408,1796.4157461065925
10,2022-01-25,30,89,3,1919,5757,3639.6246989536894,2117.3753010463106
11,2023-08-03,359,97,2,2489,4978,3580.311028194761,1397.688971805239
12,2023-01-29,338,17,1,987,987,641.3817768471424,345.6182231528576
13,2022-03-08,331,45,2,4319,8638,5474.38004022095,3163.61995977905
14,2022-08-21,427,78,4,1941,7764,5527.1378287912585,2236.8621712087415
15,2022-04-19,497,58,5,2890,14450,11087.03463720181,3362.9653627981897
16,2022-05-26,316,56,3,1884,5652,3817.299370064888,1834.700629935112
17,2022-04-21,486,54,2,2656,5312,3269.18423259438,2042.8157674056201
18,2022-08-16,296,87,5,4896,24480,17741.9236375998,6738.076362400199
19,2022-04-21,449,88,5,1891,9455,7122.31961016914,2332.68038983086
20,2023-04-15,413,29,1,3642,3642,2400.8679548272617,1241.1320451727383
21,2022-02-03,330,54,3,768,2304,1700.6237222954564,603.3762777045436
22,2023-09-15,220,27,5,4417,22085,13585.765854230744,8499.234145769256
23,2023-01-04,377,45,3,2024,6072,4082.118634834314,1989.881365165686
24,2023-08-18,479,87,2,977,1954,1357.690547881302,596.3094521186979
25,2023-07-08,147,31,5,4771,23855,18043.7485740136,5811.2514259864
26,2023-03-01,259,36,5,738,3690,2463.5485813590235,1226.4514186409765
27,2023-09-05,292,81,2,1109,2218,1532.061227907146,685.9387720928539
28,2023-06-02,299,61,3,4924,14772,10719.609110395902,4052.3908896040975
29,2023-11-23,143,37,3,3897,11691,8473.823767125838,3217.1762328741625
30,2022-10-09,481,67,5,2331,11655,8199.899034133334,3455.1009658666662
31,2022-11-16,425,36,2,1654,3308,2202.118867970908,1105.881132029092
32,2023-03-19,235,5,4,2251,9004,6608.80030268892,2395.19969731108
33,2022-11-11,115,46,3,4098,12294,9434.795103735172,2859.2048962648278
34,2023-01-12,365,79,4,2985,11940,7531.308046934632,4408.691953065368
35,2022-10-16,90,52,5,3838,19190,12820.69232257081,6369.307677429189
36,2023-03-13,208,49,4,2833,11332,8314.851378283265,3017.148621716735
37,2023-10-24,164,6,4,4886,19544,14680.575242688674,4863.424757311326
38,2022-10-04,481,10,3,4963,14889,11260.430534172245,3628.5694658277553
39,2023-12-11,84,96,5,667,3335,2436.7324369980506,898.2675630019494
40,2023-08-05,77,23,4,4042,16168,11247.334554975872,4920.665445024128
41,2023-05-18,161,17,3,4509,13527,9863.346249818025,3663.653750181975
42,2023-09-16,5,84,4,577,2308,1447.1365541913522,860.8634458086478
43,2023-05-31,485,44,3,3398,10194,6539.983571718987,3654.016428281013
44,2022-12-16,78,41,5,1608,8040,6315.469913354871,1724.530086645129
45,2023-03-22,91,15,2,1391,2782,2182.295934857843,599.7040651421571
46,2022-12-16,87,44,3,1724,5172,3851.985428521395,1320.014571478605
47,2023-08-30,270,58,3,1064,3192,2123.98693824392,1068.0130617560799
48,2023-10-26,104,86,4,3359,13436,9805.16285994389,3630.83714005611
49,2022-05-17,452,50,5,801,4005,2953.9210790761276,1051.0789209238724
50,2022-08-31,487,52,1,4889,4889,3437.0793852798543,1451.9206147201457
51,2023-06-27,500,70,1,608,608,455.8207405497719,152.17925945022807
52,2022-02-09,339,68,2,2912,5824,3528.9839934218517,2295.0160065781483
53,2022-08-17,175,63,5,3147,15735,10247.326845571659,5487.673154428341
54,2023-07-02,54,58,3,3225,9675,7342.261468155751,2332.7385318442493
55,2022-08-11,388,23,1,3838,3838,3023.346460575972,814.6535394240282
56,2022-01-06,478,44,2,2640,5280,4093.1487431135843,1186.8512568864157
57,2022-11-18,211,83,5,4313,21565,16029.235900361522,5535.764099638478
58,2023-04-13,95,95,2,4700,9400,5951.133991041892,3448.866008958108
59,2022-03-16,223,44,1,2756,2756,1856.8381970089888,899.1618029910112
60,2022-01-04,9,52,4,4145,16580,10114.505275435455,6465.494724564545
61,2023-10-08,53,67,4,3559,14236,10363.414526583732,3872.5854734162676
62,2022-04-28,77,28,5,3021,15105,10422.036834797846,4682.963165202154
63,2023-08-29,206,67,2,3917,7834,5598.195008874612,2235.8049911253884
64,2023-05-19,316,78,3,511,1533,1220.0696033326028,312.9303966673972
65,2023-07-28,302,18,1,3766,3766,2562.5765415903434,1203.4234584096566
66,2023-03-17,310,27,4,3645,14580,9642.366809049934,4937.633190950066
67,2022-07-13,330,51,4,1374,5496,3463.144570375273,2032.855429624727
68,2023-12-16,112,60,2,2933,5866,3688.083046227363,2177.916953772637
69,2023-01-27,351,74,4,1383,5532,3892.9498959034204,1639.0501040965796
70,2022-01-26,165,49,2,4485,8970,6726.115202028207,2243.884797971793
71,2023-03-11,279,15,1,2079,2079,1482.103492236606,596.8965077633941
72,2022-06-22,27,83,2,4271,8542,6617.133189228218,1924.8668107717822
73,2022-10-27,70,73,4,852,3408,2260.0986438729456,1147.9013561270544
74,2023-10-07,218,68,2,2006,4012,2884.6653851618657,1127.3346148381343
75,2022-11-22,450,15,4,3987,15948,11677.896561710222,4270.103438289778
76,2023-02-14,365,51,5,3351,16755,10993.593117307573,5761.406882692427
77,2022-04-28,189,48,4,2529,10116,6871.402467451041,3244.597532548959
78,2023-12-25,333,72,4,2346,9384,6739.4759560875145,2644.5240439124855
79,2022-08-13,435,1,4,2890,11560,6984.391660640701,4575.608339359299
80,2023-06-16,306,7,5,4530,22650,17606.34744313159,5043.652556868408
81,2022-04-23,124,53,3,3938,11814,7350.822133140089,4463.177866859911
82,2022-05-20,19,31,4,2883,11532,7028.887540294111,4503.112459705889
83,2023-07-13,257,18,3,3867,11601,7459.524872212347,4141.475127787653
84,2022-01-01,296,12,1,1965,1965,1376.4109594953484,588.5890405046516
85,2022-03-31,416,48,2,2651,5302,3529.7507270063097,1772.2492729936903
86,2023-10-16,22,30,3,3983,11949,8221.259973772356,3727.740026227644
87,2022-11-16,368,97,1,1073,1073,661.8845778621146,411.1154221378854
88,2023-07-04,477,7,2,1274,2548,1647.5901193066238,900.4098806933762
89,2022-05-19,450,92,4,3865,15460,9577.967182136053,5882.032817863947
90,2023-05-26,40,3,4,4838,19352,12500.25637254927,6851.743627450731
91,2022-09-16,38,63,4,4430,17720,13124.527191129917,4595.472808870083
92,2023-11-04,48,6,5,3180,15900,11369.424727277697,4530.5752727223025
93,2023-11-21,183,95,5,2720,13600,9068.400914752452,4531.599085247548
